variable_1,variable_2,spearman_rho,p_value,n_samples,significant,strength,interpretation,parametric_equivalent
Bottleneck_2Jaar_Pct,Vergunning_Fase_Pct,0.3786,<1e-16,88825,True,Weak,Bottlenecks sterk geassocieerd met vergunningsfase (rangcorrelatie),pearson (results/5_correlation_matrix.csv)
Bottleneck_2Jaar_Pct,Bouw_Fase_Pct,0.1976,<1e-16,88825,True,Weak,Bottlenecks geassocieerd met bouwfase (rangcorrelatie),pearson (results/5_correlation_matrix.csv)
