Maand,Average of Seasonal
1,-4.521818181818182
2,7.198181818181819
3,14.465454545454547
4,14.796363636363635
5,5.055454545454546
6,-3.2063636363636365
7,-5.893636363636364
8,-5.415454545454545
9,-3.5700000000000003
10,-4.289090909090909
11,-6.2718181818181815
12,-9.806363636363637
