naam,Gem Doorlooptijd Provincie
Noord-Holland (PV),26.57407407407407
Zuid-Holland (PV),21.86296296296296
Utrecht (PV),21.849999999999998
Noord-Brabant (PV),19.59259259259259
Limburg (PV),18.598148148148148
Flevoland (PV),18.294444444444448
Groningen (PV),17.994444444444444
Zeeland (PV),17.959259259259255
Gelderland (PV),16.88888888888889
Drenthe (PV),16.231481481481485
Fryslân (PV),16.131481481481476
Overijssel (PV),15.270370370370369
