jaar,Avg Doorlooptijd
2015,16.4
2016,16.919999999999998
2017,17.880000000000003
2018,17.619999999999997
2019,19.1
2020,20.259999999999998
2021,20.360000000000003
2022,21.52
2023,23.54
2024,24.52
2025,23.379999999999995
